TenureGroup,无投诉用户数,有投诉用户数,无投诉流失率,有投诉流失率
0‑12个月,2533,1019,0.15554678247137782,0.4435721295387635
12‑24个月,1135,439,0.04052863436123348,0.1275626423690205
24‑36个月,356,144,0.0,0.0
36个月以上,2,2,0.0,0.0
